[2026-05-13 11:11:29] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:11:29] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:18:19] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:18:20] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:18:21] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:18:21] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:19:08] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:19:08] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:20:50] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 11:20:50] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 13:59:15] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 13:59:17] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 13:59:53] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 13:59:53] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:04:18] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:04:19] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:00] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:01] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:10] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:11] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:32] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:32] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:34] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
[2026-05-13 14:07:34] local.ERROR: Get visited customers error: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'city' in 'field list' (Connection: mysql, SQL: select `id`, `name`, `company`, `phone`, `email`, `address`, `city` from `customers` where `id` in (35) and `approval_status` = approved order by `name` asc)  
